Tumor_Sample_Barcode	signature	weights	short_histology	experimental_strategy	num_mutations	genome_size	mut_per_mb
BS_1Q524P3B	Signature.1	0.2322752588507281	HGAT	WGS	580.920422385671	3088286401	0.18810445242305462
BS_HYKV2TH9	Signature.1	0.20314396906771343	HGAT	WGS	247.63249829354265	3088286401	0.08018443438839035
BS_YHXMYDBN	Signature.1	0.20411492577241885	HGAT	WGS	54.498685181235835	3088286401	0.0176469012600609
BS_3VKW5988	Signature.1	0.3468969276547256	HGAT	WGS	214.03540436296566	3088286401	0.06930555543477449
BS_JRFVST47	Signature.1	0.1475252078799791	HGAT	WGS	434.9043128301784	3088286401	0.1408238279614723
BS_AF5D41PD	Signature.1	0.27585003367835226	HGAT	WGS	258.4714815566161	3088286401	0.08369414231559676
BS_TQ0J7WJQ	Signature.1	0.35701020757530544	HGAT	WGS	453.40296362063793	3088286401	0.1468137681381572
BS_CGXTFM67	Signature.1	0.6879437055884177	HGAT	WGS	167.85826416357392	3088286401	0.05435320510080306
BS_YZD4SSMA	Signature.1	0	HGAT	WGS	0	3088286401	0
BS_HEJ72V3F	Signature.1	0.5008384354396862	HGAT	WGS	131.21967008519778	3088286401	0.04248947573084812
BS_4DQAQFQH	Signature.1	0.2640012321220504	HGAT	WGS	544.63454186779	3088286401	0.17635493317311343
BS_BQ81D2BP	Signature.1	0.38319156377213287	HGAT	WGS	221.4847238602928	3088286401	0.07171767611597653
BS_1MME7FBS	Signature.1	0.38953144182512445	HGAT	WGS	652.4651650570835	3088286401	0.21127093809881511
BS_X5VN0FW0	Signature.1	0.20359690335629982	HGAT	WGS	511.84261503773774	3088286401	0.16573677068033618
BS_0ATJ22QA	Signature.1	0.35539643223287404	HGAT	WGS	456.6844154192431	3088286401	0.14787631589847589
BS_H8NWA41N	Signature.1	0.3814675729265208	HGAT	WGS	545.1171617119982	3088286401	0.17651120748888025
BS_8SYN7GXG	Signature.1	0.27857597626337577	HGAT	WGS	980.3088604708194	3088286401	0.3174280922110693
BS_3Z40EZHD	Signature.1	0.15919010707352052	HGAT	WGS	393.3587545786692	3088286401	0.12737120315372888
BS_NNFDFAFM	Signature.1	0.24407240390828155	HGAT	WGS	331.2062521035381	3088286401	0.10724596397416125
BS_682Z7WH6	Signature.1	0.318076113559439	HGAT	WGS	527.3701962815499	3088286401	0.17076466616269306
BS_J8EH1N7V	Signature.1	0.21788990043890769	HGAT	WGS	322.91283245046117	3088286401	0.10456052014667444
BS_D6STCMQS	Signature.1	0.24969367685350596	HGAT	WGS	710.128816971371	3088286401	0.2299426687697839
BS_R6CKWZW6	Signature.1	0.19727113855940015	HGAT	WGS	28.801586229672424	3088286401	0.009326073585774412
BS_CBMAWSAR	Signature.1	0.19718820239329396	HGAT	WGS	382.9394890477769	3088286401	0.1239974015764145
BS_J8EK6RNF	Signature.1	0.2370469076794292	HGAT	WGS	622.95927338154	3088286401	0.20171680747608875
BS_9P4NDTKJ	Signature.1	0.22305149223124046	HGAT	WGS	657.3327476054657	3088286401	0.2128470816024766
BS_22VCR7DF	Signature.1	0.21834532196674836	HGAT	WGS	616.6071892340974	3088286401	0.19965997617139314
BS_Q6GVRAWK	Signature.1	0.41819577298706745	HGAT	WGS	396.4495927917399	3088286401	0.1283720294411062
BS_EE73VE7V	Signature.1	0.2099707458963629	HGAT	WGS	21.62698682732538	3088286401	0.007002908415593344
BS_7PF3C1P7	Signature.1	0.20891850219829536	HGAT	WGS	330.92690748209986	3088286401	0.10715551102221102
BS_6JBE0947	Signature.1	0.4071092015617298	HGAT	WGS	141.26689294192025	3088286401	0.045742808340631054
BS_VXDGXQKZ	Signature.1	0.3343644426038244	HGAT	WGS	472.7913218418077	3088286401	0.15309179928672287
BS_ZSH09N84	Signature.1	0.19574531392038988	HGAT	WGS	380.5288902612379	3088286401	0.12321683964868708
BS_QZRP3NSG	Signature.1	0.2628800256127518	HGAT	WGS	117.7702514745128	3088286401	0.03813449796507808
BS_DVDT4VXQ	Signature.1	0.35281775636138113	HGAT	WGS	59.979018581434794	3088286401	0.019421456041775576
